Marca;Modelo;Version;Kms;Potencia;Año;Combustible;Cambio;Precio;Distribuidor
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE EAT6 5p.;5732.0;110.0;2020.0;Gasolina;Automático;15350;OK Cars
NISSAN;JUKE;NISSAN JUKE dCi E6C 81 kW 110 CV 6MT NCONNECTA 5p.;17000.0;110.0;2019.0;Diésel;Manual;15400;NISSAN Barbera, Granollers, Terrassa, Igualada...
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Tecno Fastback 5p.;16299.0;120.0;2019.0;Gasolina;Manual;15400;Ocasion Plus
FIAT;Tipo;FIAT Tipo SW 1.4 TJet 88kW 120CV Mirror 5p.;0.0;120.0;2019.0;Gasolina;Manual;15400;Grupo Deltavi
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;4000.0;110.0;2020.0;Gasolina;Manual;15450;Auracar
SEAT;Ibiza;SEAT Ibiza 1.0 TSI 85kW 115CV FR Plus 5p.;1810.0;115.0;2020.0;Gasolina;Manual;15485;Miguel Leon Automoviles
KIA;Stonic;KIA Stonic 1.0 TGDi 88kW 120CV Drive EcoDynam 5p.;13950.0;120.0;2018.0;Gasolina;Manual;15490;Flexicar Valencia
KIA;Ceed Tourer;KIA Ceed Tourer Tourer 1.0 TGDi 88kW 120CV Concept 5p.;0.0;120.0;2019.0;Gasolina;Manual;15490;Grupo Montalt - Donnay
KIA;Ceed Tourer;KIA Ceed Tourer Tourer 1.0 TGDi 88kW 120CV Concept 5p.;0.0;120.0;2019.0;Gasolina;Manual;15490;Grupo Montalt
PEUGEOT;308;PEUGEOT 308 5p Style PureTech 110 SS 6 Vel. MAN 5p.;8633.0;110.0;2020.0;Gasolina;Manual;15495;VALENCIA-C
KIA;ceed;KIA ceed 1.0 TGDi 88kW 120CV Tech 5p.;8552.0;120.0;2019.0;Gasolina;Manual;15499;Autohero
CITROEN;C 3;1.2 e-THP Shine;18880.0;110.0;2021.0;Gasolina;Manual;15499;Autohero.com
NISSAN;JUKE;NISSAN JUKE DIGT EU6 85 kW 115 CV 6MT TEKNA 5p.;5853.0;115.0;2018.0;Gasolina;Automático;15500;Automoviles Avenida
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;10194.0;110.0;2020.0;Gasolina;Manual;15500;Autos Torrent S.A
OPEL;Crossland X;OPEL Crossland X 1.2 81kW Design Line 120 Aniversario SS 5p.;10653.0;110.0;2019.0;Gasolina;Manual;15500;Ok Cars
FIAT;500X;FIAT 500X City cross 1.6 Mjet 88KW 120 cv SS 5p.;17052.0;120.0;2018.0;Diésel;Manual;15500;Mavisa
OPEL;Crossland X;OPEL Crossland X 1.2 81kW Design Line 120 Aniversario SS 5p.;15426.0;110.0;2019.0;Gasolina;Manual;15500;OK Cars
SEAT;Arona;SEAT Arona 1.0 TSI 85kW 115CV Style Ecomotive 5p.;7168.0;115.0;2019.0;Gasolina;Manual;15550;SEAT MOTOR DYE DASWELTAUTO
NISSAN;QASHQAI;NISSAN QASHQAI DIGT 85 kW 115 CV ACENTA 5p.;11874.0;115.0;2018.0;Gasolina;Manual;15590;Nissan Brisa Motor
FIAT;Tipo;1.4 Turbo S-Design;8845.0;120.0;2019.0;Gasolina;Manual;15599;Autohero.com
OPEL;Astra;OPEL Astra 1.2T SHL 81kW 110CV Astra ST 5p.;1.0;110.0;2019.0;Gasolina;Manual;15600;Vallescar Ocasion
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;3.0;110.0;2020.0;Gasolina;Manual;15600;Auto Almogàvers
OPEL;Astra;OPEL Astra 1.2T SHL 81kW 110CV Astra 5p.;2.0;110.0;2019.0;Gasolina;Manual;15650;PALAUSA - ZAMORA
PEUGEOT;2008;PEUGEOT 2008 Allure PureTech 110 SS 6 Vel. MAN 5p.;14900.0;110.0;2019.0;Gasolina;Manual;15690;Clicars
RENAULT;Mégane;RENAULT Megane Business Blue dCi 81 kW 115CV 5p.;12530.0;115.0;2019.0;Diésel;Manual;15699;DriveOn
PEUGEOT;308;PEUGEOT 308 5p Style PureTech 110 SS 6 Vel. MAN 5p.;0.0;110.0;2020.0;Gasolina;Manual;15700;Psa Retail Valencia Tres Cruces
CITROEN;C3;CITROEN C3 PureTech 60KW 83CV Feel Pack 5p.;1.0;110.0;2020.0;Gasolina;Manual;15700;Citroen Rugauto
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW112 CV 5MT NCONNECTA 5p.;13000.0;112.0;2019.0;Gasolina;Manual;15700;Germans Gelida
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV CVT NCONNECTA 5p.;15212.0;112.0;2019.0;Gasolina;Automático;15750;NISSAN Barbera, Granollers, Terrassa, Igualada...
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS Feel Pack 5p.;1.0;110.0;2021.0;Gasolina;Manual;15780;Automóviles Hermanos Torres
KIA;ceed;KIA ceed 1.0 TGDi 88kW 120CV Tech 5p.;14500.0;120.0;2019.0;Gasolina;Manual;15790;Sarauto VO
PEUGEOT;308;PEUGEOT 308 5p Style PureTech 110 SS 6 Vel. MAN 5p.;3850.0;110.0;2020.0;Gasolina;Manual;15790;Sarauto VO
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 81KW 110CV SS Shine 5p.;15000.0;110.0;2019.0;Gasolina;Manual;15800;Auracar
KIA;ceed;KIA ceed 1.0 TGDi 88kW 120CV Tech 5p.;10000.0;120.0;2019.0;Gasolina;Manual;15800;95bbfcde7636f3cb752647c0260b5d71
SSANGYONG;Tivoli;SSANGYONG Tivoli G16 Premium 4x2 5p.;14667.0;128.0;2019.0;Gasolina;Manual;15800;Ocasion Plus
KIA;Stonic;KIA Stonic 1.0 TGDi 88kW 120CV Drive 5p.;12000.0;120.0;2018.0;Gasolina;Manual;15800;Ford Autominesa
CITROEN;C3 Aircross;CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.;8265.0;110.0;2019.0;Gasolina;Manual;15800;Inauto Citröen
PEUGEOT;2008;PEUGEOT 2008 Allure 1.2 PureTech 81KW 110CVSS EAT6 5p.;15077.0;110.0;2019.0;Gasolina;Automático;15850;KeyGo Cars
FORD;EcoSport;FORD EcoSport 1.0T EcoBoost 92kW 125CV SS ST Line 5p.;9750.0;125.0;2020.0;Gasolina;Manual;15850;Ford Deysa Conde de Peñalver
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Klass 5p.;10000.0;120.0;2020.0;Gasolina;Manual;15890;Motor Gamboa
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Klass 5p.;10000.0;120.0;2020.0;Gasolina;Manual;15890;Gamboa Ocasión
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Klass 5p.;10000.0;120.0;2020.0;Gasolina;Manual;15890;Motor Gamboa
FORD;EcoSport;FORD EcoSport 1.0T EcoBoost 92kW 125CV SS Titanium 5p.;8959.0;125.0;2019.0;Gasolina;Manual;15899;Autohero
KIA;ceed;KIA ceed 1.0 TGDi 88kW 120CV Tech 5p.;13754.0;120.0;2019.0;Gasolina;Manual;15899;Autohero
SEAT;Arona;SEAT Arona 1.6 TDI 85kW 115CV Style Ecomotive 5p.;9100.0;115.0;2019.0;Diésel;Manual;15900;Electro Sanz Hermanos
FIAT;500X;FIAT 500X City cross 1.6 Mjet 88KW 120 cv SS 5p.;13552.0;120.0;2019.0;Diésel;Manual;15900;Webycar
TOYOTA;Auris;TOYOTA Auris 1.2 120T ACTIVE 5p.;6941.0;116.0;2018.0;Gasolina;Manual;15900;Toyota City
